"Name","Location","FunctionSignature","FunctionSize"
"FUN_10002200","10002200","undefined FUN_10002200(void * this\, uint param_1)","18"
"FUN_10002470","10002470","undefined * * FUN_10002470(void * this\, int param_1)","117"
"FUN_100024f0","100024f0","undefined * * FUN_100024f0(void * this\, int param_1)","59"
"TSpriteShaderOrderTable","10002530","undefined TSpriteShaderOrderTable(TSpriteShaderOrderTable * this\, TSpriteShaderHAL * param_1\, uint param_2\, uint param_3)","121"
"Render","100025b0","void Render(TSpriteShaderOrderTable * this)","82"
"TSpriteShaderHAL","10002610","undefined TSpriteShaderHAL(TSpriteShaderHAL * this)","80"
"Flush","10002660","void Flush(TSpriteShaderHAL * this)","356"
"Create","100027d0","bool Create(TSpriteShaderHAL * this)","103"
"Validate","10002840","bool Validate(TSpriteShaderHAL * this)","123"
"Invalidate","100028c0","void Invalidate(TSpriteShaderHAL * this)","76"
"CreateMaterial","10002910","TSpriteMaterial * CreateMaterial(TSpriteShaderHAL * this\, char * param_1)","69"
"CreateMesh","10002960","TSpriteMesh * CreateMesh(TSpriteShaderHAL * this\, char * param_1)","53"
"CreateMesh","100029a0","TSpriteMesh * CreateMesh(TSpriteShaderHAL * this\, int param_1\, int * param_2)","129"
"Render","10002a30","void Render(TSpriteShaderHAL * this\, TRenderPacket * param_1)","1054"
"OnLostDevice","10002e50","bool OnLostDevice(TSpriteShaderHAL * this)","53"
"OnResetDevice","10002e90","bool OnResetDevice(TSpriteShaderHAL * this)","274"
"BeginMeshGeneration","10002fb0","void BeginMeshGeneration(TSpriteShaderHAL * this)","48"
"EndMeshGeneration","10002fe0","void EndMeshGeneration(TSpriteShaderHAL * this)","50"
"SupportsMipMapLODBias","10003020","bool SupportsMipMapLODBias(TSpriteShaderHAL * this)","83"
"TSpriteMaterialHAL","10003080","undefined TSpriteMaterialHAL(TSpriteMaterialHAL * this)","28"
"PreRender","100030a0","void PreRender(TSpriteMaterialHAL * this)","355"
"PostRender","10003210","void PostRender(TSpriteMaterialHAL * this)","92"
"Create","10003270","bool Create(TSpriteMeshHAL * this\, uint param_1\, ushort param_2\, ushort param_3)","37"
"Render","100032a0","bool Render(TSpriteMeshHAL * this)","111"
"FUN_10003310","10003310","undefined FUN_10003310(void * this\, uint param_1)","123"
"~TSpriteMeshHAL","10003480","void ~TSpriteMeshHAL(TSpriteMeshHAL * this)","16"
"TSpriteMeshHAL","10003490","undefined TSpriteMeshHAL(TSpriteMeshHAL * this)","21"
"DeinitialiseStatic","100034b0","void DeinitialiseStatic(void)","1"
"InitialiseStatic","100034c0","void InitialiseStatic(void)","1"
"CreateObjectInPlace","100034d0","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","100034f0","TObject * CreateObject(void)","34"
"GetClass","10003520","TClass * GetClass(TSpriteMeshHAL * this)","6"
"~TSpriteMaterialHAL","10003530","void ~TSpriteMaterialHAL(TSpriteMaterialHAL * this)","16"
"DeinitialiseStatic","10003540","void DeinitialiseStatic(void)","1"
"InitialiseStatic","10003550","void InitialiseStatic(void)","1"
"CreateObjectInPlace","10003560","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","10003580","TObject * CreateObject(void)","34"
"GetClass","100035b0","TClass * GetClass(TSpriteMaterialHAL * this)","6"
"GetVertexShaderHandle","100035c0","ulong GetVertexShaderHandle(TSpriteShaderHAL * this)","18"
"RenderString","100035e0","void RenderString(TSpriteShaderHAL * this\, TWString * param_1\, TVector2 * param_2\, TVector2 * param_3\, float param_4\, float param_5)","3"
"RenderString","100035f0","void RenderString(TSpriteShaderHAL * this\, TWString * param_1\, TVector2 * param_2)","3"
"RenderRectangle","10003600","void RenderRectangle(TSpriteShaderHAL * this\, TVector2 * param_1\, TVector2 * param_2\, TVector2 * param_3\, TVector2 * param_4\, float param_5)","39"
"SetClip","10003630","void SetClip(void)","3"
"SetFont","10003640","void SetFont(TSpriteShaderHAL * this\, TGUIFont * param_1)","17"
"SetColour","10003660","void SetColour(TSpriteShaderHAL * this\, TGUIColour * param_1)","17"
"SetMaterial","10003680","void SetMaterial(TSpriteShaderHAL * this\, TSpriteMaterial * param_1)","17"
"SetDepthTest","100036a0","void SetDepthTest(TSpriteShaderHAL * this\, CompareFunction param_1)","3"
"SetAlphaBlendOp","100036b0","void SetAlphaBlendOp(TSpriteShaderHAL * this\, BlendOp param_1)","3"
"SetAlphaBlendMode","100036c0","void SetAlphaBlendMode(TSpriteShaderHAL * this\, BlendMode param_1\, BlendMode param_2)","3"
"SetAlphaTest","100036d0","void SetAlphaTest(TSpriteShaderHAL * this\, CompareFunction param_1\, float param_2)","3"
"SetClipEnabled","100036e0","void SetClipEnabled(TSpriteShaderHAL * this\, bool param_1)","3"
"SetDepthReadEnabled","100036f0","void SetDepthReadEnabled(TSpriteShaderHAL * this\, bool param_1)","3"
"SetDepthWriteEnabled","10003700","void SetDepthWriteEnabled(TSpriteShaderHAL * this\, bool param_1)","3"
"SetAlphaBlendEnabled","10003710","void SetAlphaBlendEnabled(TSpriteShaderHAL * this\, bool param_1)","3"
"SetAlphaTestEnabled","10003720","void SetAlphaTestEnabled(TSpriteShaderHAL * this\, bool param_1)","3"
"OnDestroy","10003730","void OnDestroy(TSpriteShaderHAL * this)","10"
"~TSpriteShaderHAL","10003740","void ~TSpriteShaderHAL(TSpriteShaderHAL * this)","47"
"DeinitialiseStatic","10003770","void DeinitialiseStatic(void)","1"
"InitialiseStatic","10003780","void InitialiseStatic(void)","1"
"CreateObjectInPlace","10003790","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","100037b0","TObject * CreateObject(void)","37"
"GetClass","100037e0","TClass * GetClass(TSpriteShaderHAL * this)","6"
"AllocRenderPacket","100037f0","TRenderPacket * AllocRenderPacket(TSpriteShaderOrderTable * this)","26"
"~TSpriteShaderOrderTable","10003810","void ~TSpriteShaderOrderTable(TSpriteShaderOrderTable * this)","28"
"TSpriteMeshHAL","10003830","undefined TSpriteMeshHAL(TSpriteMeshHAL * this\, TSpriteMeshHAL * param_1)","157"
"GetMaterial","100038d0","TSpriteMaterialHAL * GetMaterial(TSpriteMeshHAL * this)","4"
"GetShader","100038e0","TSpriteShaderHAL * GetShader(TSpriteMeshHAL * this)","4"
"TSpriteMaterialHAL","100038f0","undefined TSpriteMaterialHAL(TSpriteMaterialHAL * this\, TSpriteMaterialHAL * param_1)","61"
"GetShader","10003930","TSpriteShaderHAL * GetShader(TSpriteMaterialHAL * this)","4"
"GetRenderer","10003940","TRenderD3DInterface * GetRenderer(TSpriteMaterialHAL * this)","4"
"GetIndexPool","10003950","TIndexPoolResourceInterface * GetIndexPool(TSpriteShaderHAL * this)","7"
"GetVertexPool","10003960","TVertexPoolResourceInterface * GetVertexPool(TSpriteShaderHAL * this)","7"
"GetOrderTable","10003970","TSpriteShaderOrderTable * GetOrderTable(TSpriteShaderHAL * this)","9"
"BatchRenderRectangle","10003980","void BatchRenderRectangle(TSpriteShaderHAL * this\, BatchHandle * param_1\, TVector2 * param_2\, TVector2 * param_3\, float param_4\, TVector2 * param_5\, TVector2 * param_6)","3"
"GetRenderer","10003990","TRenderD3DInterface * GetRenderer(TSpriteShaderHAL * this)","4"
"GetNumRendPackets","100039a0","uint GetNumRendPackets(TSpriteShaderOrderTable * this)","4"
"GetMaxRendPackets","100039b0","uint GetMaxRendPackets(TSpriteShaderOrderTable * this)","4"
"GetShader","100039c0","TSpriteShaderHAL * GetShader(TSpriteShaderOrderTable * this)","3"
"FUN_100044ea","100044ea","undefined FUN_100044ea(float * param_1\, float * param_2\, float * param_3)","227"
"FUN_100045cd","100045cd","undefined FUN_100045cd(undefined4 * param_1\, undefined4 * param_2)","109"
"FUN_1000463a","1000463a","undefined FUN_1000463a(float * param_1\, float * param_2\, float * param_3)","909"
"_finite","10006f8e","thunk undefined _finite()","6"
