"Name","Location","FunctionSignature","FunctionSize"
"operator=","100064b0","TGUILayoutInfo * operator=(TGUILayoutInfo * this\, TGUILayoutInfo * param_1)","142"
"TGUILayoutInfo","10006540","undefined TGUILayoutInfo(TGUILayoutInfo * this\, TGUILayoutInfo * param_1)","81"
"GetPropertyInfo","100065a0","TGUIPropertySpec * GetPropertyInfo(TGUILayoutInfo * this\, int param_1)","16"
"GetPropertyCount","100065b0","int GetPropertyCount(TGUILayoutInfo * this)","7"
"GetTClass","100065c0","TClass * GetTClass(TGUILayoutInfo * this)","4"
"GetLayoutLabel","100065d0","TPCString * GetLayoutLabel(TGUILayoutInfo * this)","6"
"GetLayoutName","100065e0","TPCString * GetLayoutName(TGUILayoutInfo * this)","6"
"TGUITextureFactory","100065f0","undefined TGUITextureFactory(TGUITextureFactory * this\, TGUITextureFactory * param_1)","11"
"GetInterface","10006600","TGUIInterface * GetInterface(TGUIStyle * this)","4"
"SetInterface","10006610","void SetInterface(TGUIStyle * this\, TGUIInterface * param_1)","10"
"GetParameterCount","10006620","int GetParameterCount(TGUIStyle * this)","5"
"GetMargins","10006630","void GetMargins(TGUIStyle * this\, int * param_1\, int * param_2\, int * param_3\, int * param_4)","43"
"GetMarginRight","10006660","int GetMarginRight(TGUIStyle * this)","5"
"GetMarginLeft","10006670","int GetMarginLeft(TGUIStyle * this)","5"
"GetMarginBottom","10006680","int GetMarginBottom(TGUIStyle * this)","5"
"GetMarginTop","10006690","int GetMarginTop(TGUIStyle * this)","5"
"SetMargins","100066a0","void SetMargins(TGUIStyle * this\, int param_1\, int param_2\, int param_3\, int param_4)","35"
"SetMarginRight","100066d0","void SetMarginRight(TGUIStyle * this\, int param_1)","11"
"SetMarginLeft","100066e0","void SetMarginLeft(TGUIStyle * this\, int param_1)","11"
"SetMarginBottom","100066f0","void SetMarginBottom(TGUIStyle * this\, int param_1)","11"
"SetMarginTop","10006700","void SetMarginTop(TGUIStyle * this\, int param_1)","11"
"IsWidgetStyle","10006710","bool IsWidgetStyle(TGUIStyle * this\, TPCString * param_1)","22"
"GetWidgetInfo","10006730","TGUIWidgetInfo * GetWidgetInfo(TGUIStyle * this)","4"
"GetName","10006740","TPCString * GetName(TGUIStyle * this)","6"
"SetName","10006750","void SetName(TGUIStyle * this\, TPCString * param_1)","64"
"operator_delete[]","10006790","void operator_delete[](void * param_1)","17"
"operator_delete","100067b0","void operator_delete(void * param_1)","17"
"operator_new[]","100067d0","void * operator_new[](uint param_1)","17"
"operator_new","100067f0","void * operator_new(uint param_1\, void * param_2)","7"
"operator_new","10006800","void * operator_new(uint param_1)","17"
"~TGUIStyleRootComponent","10006820","void ~TGUIStyleRootComponent(TGUIStyleRootComponent * this)","69"
"AddState","10006870","void AddState(TGUIStyleRootComponent * this\, TGUIStyleState * param_1)","27"
"GetStates","10006890","TNodeList<class_Toshi::TGUIStyleState> * GetStates(TGUIStyleRootComponent * this)","3"
"GetMargins","100068a0","void GetMargins(TGUIStyleRootComponent * this\, int * param_1\, int * param_2\, int * param_3\, int * param_4)","39"
"GetMarginRight","100068d0","int GetMarginRight(TGUIStyleRootComponent * this)","4"
"GetMarginLeft","100068e0","int GetMarginLeft(TGUIStyleRootComponent * this)","4"
"GetMarginBottom","100068f0","int GetMarginBottom(TGUIStyleRootComponent * this)","4"
"GetMarginTop","10006900","int GetMarginTop(TGUIStyleRootComponent * this)","4"
"SetMargins","10006910","void SetMargins(TGUIStyleRootComponent * this\, int param_1\, int param_2\, int param_3\, int param_4)","31"
"SetMarginRight","10006930","void SetMarginRight(TGUIStyleRootComponent * this\, int param_1)","10"
"SetMarginLeft","10006940","void SetMarginLeft(TGUIStyleRootComponent * this\, int param_1)","10"
"SetMarginBottom","10006950","void SetMarginBottom(TGUIStyleRootComponent * this\, int param_1)","10"
"SetMarginTop","10006960","void SetMarginTop(TGUIStyleRootComponent * this\, int param_1)","10"
"TGUIStyleRootComponent","10006970","undefined TGUIStyleRootComponent(TGUIStyleRootComponent * this)","28"
"~TGUIStyleState","10006990","void ~TGUIStyleState(TGUIStyleState * this)","105"
"AddComponent","10006a10","void AddComponent(TGUIStyleState * this\, TGUIComponent * param_1)","36"
"SetStateRule","10006a40","void SetStateRule(TGUIStyleState * this\, TGUIStateRule * param_1)","18"
"GetComponents","10006a60","TNodeList<class_Toshi::TGUIComponent> * GetComponents(TGUIStyleState * this)","6"
"GetStateRule","10006a70","void GetStateRule(TGUIStyleState * this\, TGUIStateRule * param_1)","18"
"TGUIStyleState","10006a90","undefined TGUIStyleState(TGUIStyleState * this\, TGUIStateRule * param_1)","47"
"SetBBox","10006ac0","void SetBBox(TGUIComponentCache * this\, TGUIRectangle * param_1\, TGUIComponent * param_2)","63"
"ModifyBBox","10006b00","TGUIRectangle * ModifyBBox(TGUIComponentCache * this\, TGUIComponent * param_1)","16"
"GetBBox","10006b10","TGUIRectangle * GetBBox(TGUIComponentCache * this)","3"
"~TGUIComponentCache","10006b20","void ~TGUIComponentCache(TGUIComponentCache * this)","23"
"operator=","10006b40","TGUIComponentCache * operator=(TGUIComponentCache * this\, TGUIComponentCache * param_1)","42"
"TGUIComponentCache","10006b70","undefined TGUIComponentCache(TGUIComponentCache * this\, TGUIComponentCache * param_1)","40"
"TGUIComponentCache","10006ba0","undefined TGUIComponentCache(TGUIComponentCache * this)","25"
"ComputeSizeFunction","10006bc0","void ComputeSizeFunction(TGUIComponent * this\, float param_1\, TGUIRectangle * param_2)","138"
"ComputeAlphaFunction","10006c50","int ComputeAlphaFunction(TGUIComponent * this\, float param_1)","107"
"DestroyCache","10006cc0","void DestroyCache(TGUIComponent * this\, void * param_1)","3"
"NotifyElementsChanged","10006cd0","void NotifyElementsChanged(TGUIComponent * this)","1"
"GetMargins","10006ce0","void GetMargins(TGUIComponent * this\, int * param_1\, int * param_2\, int * param_3\, int * param_4)","43"
"GetMarginRight","10006d10","int GetMarginRight(TGUIComponent * this)","5"
"GetMarginLeft","10006d20","int GetMarginLeft(TGUIComponent * this)","5"
"GetMarginBottom","10006d30","int GetMarginBottom(TGUIComponent * this)","5"
"GetMarginTop","10006d40","int GetMarginTop(TGUIComponent * this)","5"
"SetMargins","10006d50","void SetMargins(TGUIComponent * this\, int param_1\, int param_2\, int param_3\, int param_4)","31"
"SetMarginRight","10006d70","void SetMarginRight(TGUIComponent * this\, int param_1)","10"
"SetMarginLeft","10006d80","void SetMarginLeft(TGUIComponent * this\, int param_1)","10"
"SetMarginBottom","10006d90","void SetMarginBottom(TGUIComponent * this\, int param_1)","10"
"SetMarginTop","10006da0","void SetMarginTop(TGUIComponent * this\, int param_1)","10"
"operator_delete[]","10006db0","void operator_delete[](void * param_1)","17"
"operator_delete","10006dd0","void operator_delete(void * param_1)","17"
"operator_new[]","10006df0","void * operator_new[](uint param_1)","17"
"operator_new","10006e10","void * operator_new(uint param_1\, void * param_2)","7"
"operator_new","10006e20","void * operator_new(uint param_1)","17"
"operator=","10006e40","TGUIComponentInfo * operator=(TGUIComponentInfo * this\, TGUIComponentInfo * param_1)","153"
"TGUIComponentInfo","10006ee0","undefined TGUIComponentInfo(TGUIComponentInfo * this\, TGUIComponentInfo * param_1)","109"
"GetElementName","10006f50","TPCString * GetElementName(TGUIComponentInfo * this\, int param_1)","13"
"GetElementCount","10006f60","int GetElementCount(TGUIComponentInfo * this)","4"
"GetTClass","10006f70","TClass * GetTClass(TGUIComponentInfo * this)","4"
"GetComponentLabel","10006f80","TPCString * GetComponentLabel(TGUIComponentInfo * this)","6"
"GetComponentName","10006f90","TPCString * GetComponentName(TGUIComponentInfo * this)","6"
"~TGUISawtoothFunction","10006fa0","void ~TGUISawtoothFunction(TGUISawtoothFunction * this)","13"
"TGUISawtoothFunction","10006fb0","undefined TGUISawtoothFunction(TGUISawtoothFunction * this\, TGUISawtoothFunction * param_1)","45"
"ComputeNormalised","10006fe0","float ComputeNormalised(TGUISawtoothFunction * this\, float param_1)","41"
"Clone","10007010","TGUISawtoothFunction * Clone(TGUISawtoothFunction * this)","43"
"TGUISawtoothFunction","10007040","undefined TGUISawtoothFunction(TGUISawtoothFunction * this\, float param_1\, float param_2\, float param_3\, float param_4)","61"
"TGUISawtoothFunction","10007080","undefined TGUISawtoothFunction(TGUISawtoothFunction * this)","50"
"~TGUISineFunction","100070c0","void ~TGUISineFunction(TGUISineFunction * this)","13"
"TGUISineFunction","100070d0","undefined TGUISineFunction(TGUISineFunction * this\, TGUISineFunction * param_1)","45"
"ComputeNormalised","10007100","float ComputeNormalised(TGUISineFunction * this\, float param_1)","17"
"Clone","10007120","TGUISineFunction * Clone(TGUISineFunction * this)","43"
"TGUISineFunction","10007150","undefined TGUISineFunction(TGUISineFunction * this\, float param_1\, float param_2\, float param_3\, float param_4)","61"
"TGUISineFunction","10007190","undefined TGUISineFunction(TGUISineFunction * this)","50"
"~TGUIConstantFunction","100071d0","void ~TGUIConstantFunction(TGUIConstantFunction * this)","13"
"TGUIConstantFunction","100071e0","undefined TGUIConstantFunction(TGUIConstantFunction * this\, TGUIConstantFunction * param_1)","45"
"ComputeNormalised","10007210","float ComputeNormalised(TGUIConstantFunction * this\, float param_1)","9"
"Clone","10007220","TGUIConstantFunction * Clone(TGUIConstantFunction * this)","43"
"TGUIConstantFunction","10007250","undefined TGUIConstantFunction(TGUIConstantFunction * this\, float param_1\, float param_2\, float param_3\, float param_4)","61"
"TGUIConstantFunction","10007290","undefined TGUIConstantFunction(TGUIConstantFunction * this)","50"
"TGUIFunction","100072d0","undefined TGUIFunction(TGUIFunction * this\, TGUIFunction * param_1)","39"
"Compute","10007300","float Compute(TGUIFunction * this\, float param_1)","35"
"~TGUIFunction","10007330","void ~TGUIFunction(TGUIFunction * this)","13"
"TGUIFunction","10007340","undefined TGUIFunction(TGUIFunction * this\, float param_1\, float param_2\, float param_3\, float param_4)","61"
"TGUIFunction","10007380","undefined TGUIFunction(TGUIFunction * this)","50"
"IsLayoutValid","100073c0","bool IsLayoutValid(TGUIWidget * this)","8"
"Pack","100073d0","void Pack(TGUIWidget * this)","1"
"GetStateSlaveList","100073e0","TDList<class_Toshi::TGUIWidget::StateSlaveInfo\,0> * GetStateSlaveList(TGUIWidget * this)","6"
"AcceptsFocus","100073f0","bool AcceptsFocus(TGUIWidget * this)","3"
"AllowsChildren","10007400","bool AllowsChildren(TGUIWidget * this)","3"
"ManagesChildren","10007410","bool ManagesChildren(TGUIWidget * this)","3"
"GetActionList","10007420","TDList<class_Toshi::TGUIWidgetAction\,0> * GetActionList(TGUIWidget * this)","6"
"SetSelected","10007430","void SetSelected(TGUIWidget * this\, bool param_1)","32"
"SetRollover","10007450","void SetRollover(TGUIWidget * this\, bool param_1)","32"
"SetFocused","10007470","void SetFocused(TGUIWidget * this\, bool param_1)","32"
"SetEnabled","10007490","void SetEnabled(TGUIWidget * this\, bool param_1)","32"
"SetVisible","100074b0","void SetVisible(TGUIWidget * this\, bool param_1)","32"
"SetState","100074d0","void SetState(TGUIWidget * this\, uint param_1\, bool param_2)","33"
"IsSelected","10007500","bool IsSelected(TGUIWidget * this)","15"
"IsRollover","10007510","bool IsRollover(TGUIWidget * this)","15"
"IsFocused","10007520","bool IsFocused(TGUIWidget * this)","15"
"IsEnabled","10007530","bool IsEnabled(TGUIWidget * this)","15"
"IsVisible","10007540","bool IsVisible(TGUIWidget * this)","15"
"IsState","10007550","bool IsState(TGUIWidget * this\, uint param_1\, uint param_2)","22"
"IsState","10007570","bool IsState(TGUIWidget * this\, uint param_1)","22"
"SetPaintChildrenFirst","10007590","void SetPaintChildrenFirst(TGUIWidget * this\, bool param_1)","13"
"DoesPaintChildrenFirst","100075a0","bool DoesPaintChildrenFirst(TGUIWidget * this)","8"
"SetValidated","100075b0","void SetValidated(TGUIWidget * this\, bool param_1)","13"
"IsValidated","100075c0","bool IsValidated(TGUIWidget * this)","8"
"GetChildren","100075d0","TNodeList<class_Toshi::TGUIWidget> * GetChildren(TGUIWidget * this)","6"
"GetChildCount","100075e0","int GetChildCount(TGUIWidget * this)","4"
"GetParentWidget","100075f0","TGUIWidget * GetParentWidget(TGUIWidget * this)","4"
"SetAnimSync","10007600","void SetAnimSync(TGUIWidget * this\, float param_1)","13"
"GetAnimSync","10007610","float GetAnimSync(TGUIWidget * this)","7"
"GetStyle","10007620","TGUIStyle * GetStyle(TGUIWidget * this)","4"
"GetLayoutManager","10007630","TGUILayoutManager * GetLayoutManager(TGUIWidget * this)","4"
"GetName","10007640","TPCString * GetName(TGUIWidget * this)","6"
"GetPlaceMode","10007650","PlaceMode GetPlaceMode(TGUIWidget * this)","4"
"GetSizeModeVert","10007660","SizeMode GetSizeModeVert(TGUIWidget * this)","4"
"GetSizeModeHoriz","10007670","SizeMode GetSizeModeHoriz(TGUIWidget * this)","4"
"GetBBox","10007680","void GetBBox(TGUIWidget * this\, TGUIRectangle * param_1)","44"
"GetHeight","100076b0","int GetHeight(TGUIWidget * this)","5"
"GetWidth","100076c0","int GetWidth(TGUIWidget * this)","5"
"GetYPos","100076d0","int GetYPos(TGUIWidget * this)","5"
"GetXPos","100076e0","int GetXPos(TGUIWidget * this)","5"
"GetSize","100076f0","void GetSize(TGUIWidget * this\, int * param_1\, int * param_2)","23"
"GetPosition","10007710","void GetPosition(TGUIWidget * this\, int * param_1\, int * param_2)","23"
"SetPlaceMode","10007730","void SetPlaceMode(TGUIWidget * this\, PlaceMode param_1)","10"
"SetSizeMode","10007740","void SetSizeMode(TGUIWidget * this\, SizeMode param_1\, SizeMode param_2)","17"
"SetSizeModeVert","10007760","void SetSizeModeVert(TGUIWidget * this\, SizeMode param_1)","10"
"SetSizeModeHoriz","10007770","void SetSizeModeHoriz(TGUIWidget * this\, SizeMode param_1)","10"
"SetName","10007780","void SetName(TGUIWidget * this\, TPCString * param_1)","64"
"SetYPos","100077c0","void SetYPos(TGUIWidget * this\, int param_1)","22"
"SetXPos","100077e0","void SetXPos(TGUIWidget * this\, int param_1)","22"
"GetWidgetInfo","10007800","TGUIWidgetInfo * GetWidgetInfo(TGUIWidget * this)","4"
"GetInterface","10007810","TGUIInterface * GetInterface(TGUIWidget * this)","4"
"operator_delete[]","10007820","void operator_delete[](void * param_1)","17"
"operator_delete","10007840","void operator_delete(void * param_1)","17"
"operator_new[]","10007860","void * operator_new[](uint param_1)","17"
"operator_new","10007880","void * operator_new(uint param_1\, void * param_2)","7"
"operator_new","10007890","void * operator_new(uint param_1)","17"
"GetStaticWidgetInfo","100078b0","TGUIWidgetInfo * GetStaticWidgetInfo(void)","6"
"operator=","100078c0","TGUIWidgetAction * operator=(TGUIWidgetAction * this\, TGUIWidgetAction * param_1)","113"
"~TGUIWidgetAction","10007940","void ~TGUIWidgetAction(TGUIWidgetAction * this)","48"
"TGUIWidgetAction","10007970","undefined TGUIWidgetAction(TGUIWidgetAction * this\, TGUIWidgetAction * param_1)","78"
"IsEnabled","100079c0","bool IsEnabled(TGUIWidgetAction * this)","5"
"SetEnabled","100079d0","void SetEnabled(TGUIWidgetAction * this\, bool param_1)","10"
"Throw","100079e0","void Throw(TGUIWidgetAction * this\, TGUIWidget * param_1)","27"
"SetLabel","10007a00","void SetLabel(TGUIWidgetAction * this\, TLString * param_1)","64"
"GetCommandID","10007a40","int GetCommandID(TGUIWidgetAction * this)","4"
"GetLabel","10007a50","TLString GetLabel(TGUIWidgetAction * this)","30"
"GetDoodadID","10007a70","int GetDoodadID(TGUIWidgetAction * this)","4"
"TGUIWidgetAction","10007a80","undefined TGUIWidgetAction(TGUIWidgetAction * this\, int param_1\, TLString * param_2\, int param_3\, bool param_4)","80"
"GetFreeList","10007ad0","TFreeList * GetFreeList(void)","6"
"operator_delete","10007ae0","void operator_delete(void * param_1)","19"
"operator_new","10007b00","void * operator_new(uint param_1\, void * param_2)","7"
"operator_new","10007b10","void * operator_new(uint param_1)","19"
"operator_new","10007b30","void * operator_new(uint param_1\, char * param_2\, int param_3)","19"
"FUN_10007b50","10007b50","undefined FUN_10007b50(void * this\, undefined4 * param_1)","220"
"operator=","10007c40","TGUIWidgetInfo * operator=(TGUIWidgetInfo * this\, TGUIWidgetInfo * param_1)","183"
"TGUIWidgetInfo","10007d00","undefined TGUIWidgetInfo(TGUIWidgetInfo * this\, TGUIWidgetInfo * param_1)","145"
"GetPropertyInfo","10007da0","TGUIPropertySpec * GetPropertyInfo(TGUIWidgetInfo * this\, int param_1)","16"
"GetPropertyCount","10007db0","int GetPropertyCount(TGUIWidgetInfo * this)","7"
"DelInstance","10007dc0","void DelInstance(TGUIWidgetInfo * this)","4"
"AddInstance","10007dd0","void AddInstance(TGUIWidgetInfo * this)","4"
"AddInputAction","10007de0","void AddInputAction(TGUIWidgetInfo * this\, uint param_1)","10"
"GetComponentNameSet","10007df0","TArray<class_Toshi::TPCString> * GetComponentNameSet(TGUIWidgetInfo * this)","6"
"GetStateVarSet","10007e00","TSortedArray<class_Toshi::TGUIStateVarInfo\,struct_Toshi::TGUIStateVarInfo::Comparator> * GetStateVarSet(TGUIWidgetInfo * this)","6"
"GetStateExpression","10007e10","TPCString GetStateExpression(TGUIWidgetInfo * this\, TGUIStateRule param_1)","27"
"IsConcrete","10007e30","bool IsConcrete(TGUIWidgetInfo * this)","5"
"GetInstanceCount","10007e40","int GetInstanceCount(TGUIWidgetInfo * this)","4"
"GetInputActions","10007e50","uint GetInputActions(TGUIWidgetInfo * this)","4"
"GetStateVarInfo","10007e60","TGUIStateVarInfo * GetStateVarInfo(TGUIWidgetInfo * this\, int param_1)","13"
"GetStateVarCount","10007e70","int GetStateVarCount(TGUIWidgetInfo * this)","4"
"GetComponentName","10007e80","TPCString * GetComponentName(TGUIWidgetInfo * this\, int param_1)","13"
"GetComponentCount","10007e90","int GetComponentCount(TGUIWidgetInfo * this)","4"
"GetTClass","10007ea0","TClass * GetTClass(TGUIWidgetInfo * this)","4"
"GetWidgetLabel","10007eb0","TPCString * GetWidgetLabel(TGUIWidgetInfo * this)","6"
"GetWidgetName","10007ec0","TPCString * GetWidgetName(TGUIWidgetInfo * this)","6"
"FUN_10007ed0","10007ed0","int * FUN_10007ed0(void * this\, int * param_1\, int * param_2\, undefined * param_3)","288"
"FUN_10008000","10008000","int * FUN_10008000(void * this\, int * param_1\, int * param_2)","266"
"FUN_10008110","10008110","undefined FUN_10008110(void * this\, int param_1\, int param_2)","824"
"operator=","10008480","TGUIPoint * operator=(TGUIPoint * this\, TGUIPoint * param_1)","19"
"operator-=","100084a0","TGUIPoint * operator-=(TGUIPoint * this\, TGUIPoint * param_1)","24"
"operator+=","100084c0","TGUIPoint * operator+=(TGUIPoint * this\, TGUIPoint * param_1)","19"
"Set","100084e0","void Set(TGUIPoint * this\, int param_1\, int param_2)","16"
"SetY","100084f0","void SetY(TGUIPoint * this\, int param_1)","10"
"SetX","10008500","void SetX(TGUIPoint * this\, int param_1)","9"
"GetY","10008510","int GetY(TGUIPoint * this)","4"
"GetX","10008520","int GetX(TGUIPoint * this)","3"
"TGUIPoint","10008530","undefined TGUIPoint(TGUIPoint * this)","3"
"TGUIPoint","10008540","undefined TGUIPoint(TGUIPoint * this\, int param_1\, int param_2)","18"
"operator=","10008560","TGUIMemory * operator=(TGUIMemory * this\, TGUIMemory * param_1)","5"
"TGUIDeserialisable","10008570","undefined TGUIDeserialisable(TGUIDeserialisable * this\, TGUIDeserialisable * param_1)","11"
"operator==","10008580","bool operator==(TGUIPropertySpec * this\, TGUIPropertySpec * param_1)","20"
"GetSourceClass","100085a0","TClass * GetSourceClass(TGUIPropertySpec * this)","4"
"GetSortHint","100085b0","int GetSortHint(TGUIPropertySpec * this)","4"
"GetBaseClass","100085c0","TClass * GetBaseClass(TGUIPropertySpec * this)","4"
"IsClassName","100085d0","bool IsClassName(TGUIPropertySpec * this)","12"
"GetEnumName","100085e0","TPCString * GetEnumName(TGUIPropertySpec * this\, int param_1)","13"
"GetEnumCount","100085f0","int GetEnumCount(TGUIPropertySpec * this)","15"
"IsEnumerated","10008600","bool IsEnumerated(TGUIPropertySpec * this)","24"
"AllowsAutoInstall","10008620","bool AllowsAutoInstall(TGUIPropertySpec * this)","5"
"SetType","10008630","void SetType(TGUIPropertySpec * this\, TClass * param_1)","10"
"GetType","10008640","TClass * GetType(TGUIPropertySpec * this)","4"
"SetName","10008650","void SetName(TGUIPropertySpec * this\, TPCString * param_1)","64"
"GetName","10008690","TPCString * GetName(TGUIPropertySpec * this)","6"
"FUN_100086c0","100086c0","undefined FUN_100086c0(void * this\, undefined4 * param_1)","207"
"~TGUIAudioContext","10008890","void ~TGUIAudioContext(TGUIAudioContext * this)","13"
"TGUIAudioContext","100088a0","undefined TGUIAudioContext(TGUIAudioContext * this)","22"
"DeinitialiseStatic","100088c0","void DeinitialiseStatic(void)","1"
"InitialiseStatic","100088d0","void InitialiseStatic(void)","1"
"CreateObjectInPlace","100088e0","TObject * CreateObjectInPlace(void * param_1)","5"
"CreateObject","100088f0","TObject * CreateObject(void)","3"
"GetClass","10008900","TClass * GetClass(TGUIAudioContext * this)","6"
"operator*=","10008910","TGUIColour * operator*=(TGUIColour * this\, TGUIColour * param_1)","76"
"operator!=","10008960","bool operator!=(TGUIColour * this\, TGUIColour * param_1)","18"
"operator==","10008980","bool operator==(TGUIColour * this\, TGUIColour * param_1)","18"
"SetAlpha","100089a0","void SetAlpha(TGUIColour * this\, float param_1)","55"
"GetABGR","100089e0","uint GetABGR(TGUIColour * this)","31"
"GetARGB","10008a00","uint GetARGB(TGUIColour * this)","31"
"GetPlatformColour","10008a20","uint GetPlatformColour(TGUIColour * this)","31"
"Get","10008a40","void Get(TGUIColour * this\, float * param_1\, float * param_2\, float * param_3\, float * param_4)","94"
"operator=","10008aa0","TGUIColour * operator=(TGUIColour * this\, TGUIColour * param_1)","31"
"TGUIColour","10008ac0","undefined TGUIColour(TGUIColour * this\, TGUIColour * param_1)","31"
"TGUIColour","10008ae0","undefined TGUIColour(TGUIColour * this\, uint param_1\, FormatARGB param_2)","35"
"TGUIColour","10008b10","undefined TGUIColour(TGUIColour * this\, uint param_1\, FormatABGR param_2)","33"
"TGUIColour","10008b40","undefined TGUIColour(TGUIColour * this\, float param_1\, float param_2\, float param_3\, float param_4)","194"
"TGUIColour","10008c10","undefined TGUIColour(TGUIColour * this\, uchar param_1\, uchar param_2\, uchar param_3\, uchar param_4)","32"
"TGUIColour","10008c30","undefined TGUIColour(TGUIColour * this)","19"
"Deserialise","10008c50","bool Deserialise(TGUIDeserialisable * this\, PProperties * param_1)","945"
"Serialise","10009010","bool Serialise(TGUIDeserialisable * this\, PProperties * param_1)","604"
"Create","10009290","TGUIDeserialisable * Create(TGUIInterface * param_1\, PProperties * param_2)","616"
"SetProperty","10009500","bool SetProperty(TGUIDeserialisable * this\, TGUIPropertySpec * param_1\, PPropertyValue * param_2)","56"
"SetProperty","10009540","bool SetProperty(TGUIDeserialisable * this\, TPCString * param_1\, PPropertyValue * param_2)","57"
"GetProperty","10009580","PPropertyValue GetProperty(TGUIDeserialisable * this\, TGUIPropertySpec * param_1\, bool * param_2)","81"
"GetProperty","100095e0","PPropertyValue GetProperty(TGUIDeserialisable * this\, TPCString * param_1\, bool * param_2)","68"
"ValidateProperty","10009630","bool ValidateProperty(TGUIDeserialisable * this\, TPCString * param_1\, PPropertyValue * param_2)","52"
"FindPropertyInfo","10009670","TGUIPropertySpec * FindPropertyInfo(TGUIDeserialisable * this\, TPCString * param_1)","110"
"ValidatePropertyInfo","100096e0","bool ValidatePropertyInfo(TGUIDeserialisable * this\, TGUIPropertySpec * param_1)","53"
"GetRequiredProperty","10009720","PPropertyValue * GetRequiredProperty(TGUIDeserialisable * this\, PProperties * param_1\, TPCString * param_2\, TClass * param_3)","113"
"GetRequiredProperty","100097a0","PPropertyValue * GetRequiredProperty(TGUIDeserialisable * this\, PProperties * param_1\, TPCString * param_2\, TPCString * param_3\, TClass * param_4)","118"
"GetRequiredProperty","10009820","PPropertyValue * GetRequiredProperty(TGUIDeserialisable * this\, PProperties * param_1\, PPropertyName * param_2\, TClass * param_3)","366"
"GetOptionalProperty","10009990","PPropertyValue * GetOptionalProperty(TGUIDeserialisable * this\, PProperties * param_1\, TPCString * param_2\, TClass * param_3)","113"
"GetOptionalProperty","10009a10","PPropertyValue * GetOptionalProperty(TGUIDeserialisable * this\, PProperties * param_1\, TPCString * param_2\, TPCString * param_3\, TClass * param_4)","118"
"GetOptionalProperty","10009a90","PPropertyValue * GetOptionalProperty(TGUIDeserialisable * this\, PProperties * param_1\, PPropertyName * param_2\, TClass * param_3)","217"
"GetPropertyInfo","10009bd0","TGUIPropertySpec * GetPropertyInfo(TGUIDeserialisable * this\, int param_1)","20"
"GetPropertyCount","10009bf0","int GetPropertyCount(TGUIDeserialisable * this)","9"
"ValidateProperty","10009c00","bool ValidateProperty(TGUIDeserialisable * this\, PPropertyName * param_1\, PPropertyValue * param_2)","22"
"GetProperty","10009c20","PPropertyValue GetProperty(TGUIDeserialisable * this\, PPropertyName * param_1\, bool * param_2)","27"
"SetProperty","10009c40","bool SetProperty(TGUIDeserialisable * this\, PPropertyName * param_1\, PPropertyValue * param_2)","22"
"~TGUIDeserialisable","10009c60","void ~TGUIDeserialisable(TGUIDeserialisable * this)","13"
"TGUIDeserialisable","10009c70","undefined TGUIDeserialisable(TGUIDeserialisable * this)","22"
"DeinitialiseStatic","10009c90","void DeinitialiseStatic(void)","1"
"InitialiseStatic","10009ca0","void InitialiseStatic(void)","1"
"CreateObjectInPlace","10009cb0","TObject * CreateObjectInPlace(void * param_1)","5"
"CreateObject","10009cc0","TObject * CreateObject(void)","3"
