"Name","Location","FunctionSignature","FunctionSize"
"GetParticleSystem","00466110","AParticleSystem * GetParticleSystem(ARootTask * this)","7"
"GetSoundSystem","00466120","ASoundManager * GetSoundSystem(ARootTask * this)","7"
"GetMissionController","00466130","AMissionController * GetMissionController(ARootTask * this)","7"
"GetARenderer","00466140","ARenderer * GetARenderer(ARootTask * this)","7"
"GetRenderInterface","00466150","int * * GetRenderInterface(ARootTask * this)","34"
"GetRandom","00466180","TRandom * GetRandom(ARootTask * this)","6"
"GetFrontEndController","00466190","AFrontEndController * GetFrontEndController(ARootTask * this)","4"
"GetGameController","004661a0","AGameController * GetGameController(ARootTask * this)","4"
"GetOptions","004661b0","AOptions * GetOptions(ARootTask * this)","4"
"operator=","004661c0","AFadeDist * operator=(AFadeDist * this\, AFadeDist * param_1)","5"
"SetFade","004661d0","void SetFade(Type param_1\, float param_2\, float param_3)","29"
"GetFadeFar","004661f0","float GetFadeFar(Type param_1)","14"
"GetFadeNear","00466200","float GetFadeNear(Type param_1)","14"
"IsWorldBuilderGame","00466210","bool IsWorldBuilderGame(AMissionController * this)","61"
"GetMissionIndex","00466250","int GetMissionIndex(AMissionController * this)","4"
"IsMissionRunning","00466260","bool IsMissionRunning(AMissionController * this)","11"
"IsPaused","00466270","bool IsPaused(AMissionController * this)","14"
"IsSerialiseable","00466280","bool IsSerialiseable(AMissionController * this)","6"
"GetInstance","00466290","AMissionController * GetInstance(void)","6"
"IsSerialiseable","004662a0","bool IsSerialiseable(AMission * this)","6"
"HasResumed","004662b0","bool HasResumed(AMission * this)","5"
"GetVars","004662c0","AParams * GetVars(AMission * this)","6"
"SetEnablePhotoAlbumDialog","004662d0","void SetEnablePhotoAlbumDialog(APhotoAlbum * this\, bool param_1)","10"
"IsPhotoAlbumDialogEnabled","004662e0","bool IsPhotoAlbumDialogEnabled(APhotoAlbum * this)","5"
"TexturesAreCached","004662f0","bool TexturesAreCached(APhotoAlbum * this)","13"
"GetPhotoAnalyser","00466300","APhotoAnalyser * GetPhotoAnalyser(APhotoAlbum * this)","4"
"GetObjectiveScore","00466310","int * GetObjectiveScore(APhotoAlbum * this)","6"
"GetPenalty","00466320","float * GetPenalty(APhotoAlbum * this)","6"
"ResetPenalty","00466330","void ResetPenalty(APhotoAlbum * this)","16"
"SetMaxPhotoCount","00466340","void SetMaxPhotoCount(APhotoAlbum * this\, int * param_1)","12"
"MaxPhotoCount","00466350","int MaxPhotoCount(APhotoAlbum * this)","4"
"GetEventEmitter","00466360","TEmitter<class_AParkStatistics\,struct_AParkStatistics::ParkStatisticsEvent> * GetEventEmitter(AParkStatistics * this)","9"
"GetCurrentQuartersCount","00466370","int GetCurrentQuartersCount(AParkStatistics * this)","7"
"GetCurrentMonthsCount","00466380","int GetCurrentMonthsCount(AParkStatistics * this)","7"
"GetCurrentWeeksCount","00466390","int GetCurrentWeeksCount(AParkStatistics * this)","7"
"GetAccessorTable","004663a0","AAccessorTable * GetAccessorTable(AParkStatistics * this)","9"
"GetStatistic","004663b0","Statistic * GetStatistic(AParkStatistics * this\, StatisticType param_1)","14"
"IsNewQuarter","004663c0","bool IsNewQuarter(AParkStatistics * this)","8"
"IsClassVersionsAvailable","004663d0","bool IsClassVersionsAvailable(ASaveData * this)","5"
"IsASCII","004663e0","bool IsASCII(ASaveData * this)","11"
"GetLastError","004663f0","SAVEDATA_ERROR GetLastError(ASaveData * this)","7"
"GetFileType","00466400","SAVEFILE_TYPE GetFileType(ASaveData * this)","4"
"GetScriptMoveEventEmitter","00466410","TEmitter<class_AScriptMoveState\,class_AScriptMoveState::AScriptMoveEvent> * GetScriptMoveEventEmitter(AScriptMoveState * this)","6"
"GetNextDissolveState","00466420","ADissolveState * GetNextDissolveState(AScriptMoveState * this)","7"
"IsPlaying","00466430","bool IsPlaying(AScriptMoveState * this)","12"
"IsRecording","00466440","bool IsRecording(AScriptMoveState * this)","12"
"ParentAllowed","00466450","bool ParentAllowed(AScriptMoveState * this\, ARootState * param_1)","8"
"ParentAllowed","00466460","bool ParentAllowed(ADissolveState * this\, ARootState * param_1)","8"
"GetDissolveEventEmitter","00466470","TEmitter<class_ADissolveState\,class_ADissolveState::ADissolveEvent> * GetDissolveEventEmitter(ADissolveState * this)","6"
"SetAllowRotate","00466480","void SetAllowRotate(AScrollingState * this\, bool param_1)","10"
"SetAllowZoom","00466490","void SetAllowZoom(AScrollingState * this\, bool param_1)","10"
"SetAllowTranslate","004664a0","void SetAllowTranslate(AScrollingState * this\, bool param_1)","10"
"GetRestPoint","004664b0","TVector3 * GetRestPoint(ASafariSteer * this)","9"
"SetAvoidState","004664c0","void SetAvoidState(ASafariSteer * this\, int * param_1)","15"
"SetSteerState","004664d0","void SetSteerState(ASafariSteer * this\, int * param_1)","15"
"Imp_RoadPointInvalidated","004664e0","void Imp_RoadPointInvalidated(ASafariSteer * this\, ARoadPoint * param_1)","3"
"Imp_RoadSegmentInvalidated","004664f0","void Imp_RoadSegmentInvalidated(ASafariSteer * this\, ARoadSegment * param_1)","3"
"Imp_IsOnRoadSegment","00466500","bool Imp_IsOnRoadSegment(ASafariSteer * this\, ARoadSegment * param_1)","5"
"Imp_SetLockToGround","00466510","void Imp_SetLockToGround(ASafariSteer * this\, bool param_1)","3"
"Imp_GetMaxLOD","00466520","int Imp_GetMaxLOD(ASafariSteer * this)","3"
"Imp_ClearTarget","00466530","void Imp_ClearTarget(ASafariSteer * this)","1"
"Imp_ChangedLOD","00466540","void Imp_ChangedLOD(ASafariSteer * this\, int param_1)","3"
"Imp_Command_SetPushed","00466550","bool Imp_Command_SetPushed(ASafariSteer * this\, TVector3 * param_1\, float param_2)","8"
"Imp_Command_FaceDirection","00466560","bool Imp_Command_FaceDirection(ASafariSteer * this\, TVector3 * param_1)","5"
"Imp_Command_SeekDrive","00466570","bool Imp_Command_SeekDrive(ASafariSteer * this\, unsigned_char param_1)","5"
"Imp_Command_SeekActionPoint","00466580","bool Imp_Command_SeekActionPoint(ASafariSteer * this\, AUnit * param_1\, AActionPoint * param_2\, bool param_3)","5"
"Imp_Command_MaintainDistance","00466590","bool Imp_Command_MaintainDistance(ASafariSteer * this\, AUnit * param_1\, float param_2)","5"
"Imp_Command_SetTargetUnit","004665a0","bool Imp_Command_SetTargetUnit(ASafariSteer * this\, AUnit * param_1\, bool param_2\, bool param_3\, bool param_4)","5"
"Imp_Command_None","004665b0","bool Imp_Command_None(ASafariSteer * this)","3"
"Imp_Command_SeekRandomly","004665c0","bool Imp_Command_SeekRandomly(ASafariSteer * this)","3"
"Imp_Command_WanderLines","004665d0","bool Imp_Command_WanderLines(ASafariSteer * this)","3"
"Imp_Command_WanderPathfindingSpecific","004665e0","bool Imp_Command_WanderPathfindingSpecific(ASafariSteer * this)","3"
"Imp_HasArrived","004665f0","bool Imp_HasArrived(ASafariSteer * this)","3"
"IsAvoidState","00466600","bool IsAvoidState(ASafariSteer * this\, int * param_1)","22"
"IsSteerState","00466620","bool IsSteerState(ASafariSteer * this\, int * param_1)","22"
"GetNormalisedFuelLeft","00466640","float GetNormalisedFuelLeft(ASafariSteer * this)","54"
"ResetFuel","00466680","void ResetFuel(ASafariSteer * this)","31"
"HasFuelLeft","004666a0","bool HasFuelLeft(ASafariSteer * this)","28"
"WantsUserControl","004666c0","void WantsUserControl(ASafariSteer * this\, bool param_1)","44"
"GetVehicleType","004666f0","ASteerType GetVehicleType(ASafariSteer * this)","3"
"GetRPMs","00466700","float * GetRPMs(ASafariSteer * this)","6"
"GetCurrentTraction","00466710","float * GetCurrentTraction(ASafariSteer * this)","6"
"SetFleeState","00466720","void SetFleeState(ASafariSteer * this)","16"
"IsFlagSet","00466730","bool IsFlagSet(ASafariSteer * this\, JeepFlags param_1)","22"
"RemoveFlag","00466750","void RemoveFlag(ASafariSteer * this\, JeepFlags param_1)","16"
"SetFlag","00466760","void SetFlag(ASafariSteer * this\, JeepFlags param_1)","13"
"IsAtRestPoint","00466770","bool IsAtRestPoint(ASafariSteer * this)","21"
"StopSteeringEffect","00466790","void StopSteeringEffect(ASafariSteer * this)","10"
"IsRideComplete","004667a0","bool IsRideComplete(ASafariSteer * this)","8"
"SetDesiredSpeed","004667b0","void SetDesiredSpeed(ASafariSteer * this\, float param_1)","3"
"GetSpeedFromModifier","004667c0","float GetSpeedFromModifier(ASafariSteer * this\, float param_1)","9"
"SetSeekOffset","004667d0","bool SetSeekOffset(ASafariSteer * this\, float param_1)","5"
"GetAngularVelocity","004667e0","float GetAngularVelocity(ASafariSteer * this)","7"
"GetSpeedRatio","004667f0","float GetSpeedRatio(ASafariSteer * this)","7"
"SeekConstant","00466800","bool SeekConstant(ASafariSteer * this)","3"
"SetSpeed","00466810","void SetSpeed(ASafariSteer * this\, float param_1)","3"
"GetSpeed","00466820","float GetSpeed(ASafariSteer * this)","7"
"GetMovementDir","00466830","void GetMovementDir(ASafariSteer * this\, TVector3 * param_1)","56"
"SetPosition","00466870","void SetPosition(ASafariSteer * this\, TVector3 * param_1)","16"
"GetFacingDir","00466880","void GetFacingDir(ASafariSteer * this\, TVector3 * param_1)","24"
"GetMovementDir","004668a0","TVector3 GetMovementDir(ASafariSteer * this)","27"
"GetDesiredPosition","004668c0","TVector3 GetDesiredPosition(ASafariSteer * this)","33"
"GetFacingDir","004668f0","TVector3 GetFacingDir(ASafariSteer * this)","24"
"GetTraits","00466910","ASteerTraits * GetTraits(ASafariSteer * this)","7"
"GetPosition","00466920","TVector2 * GetPosition(ACollider2D * this\, int * param_1)","16"
"DoMenuPreCommand","00466930","bool DoMenuPreCommand(AMenuState * this\, AGUIMenuItem * param_1)","8"
"ParentAllowed","00466940","bool ParentAllowed(AMenuState * this\, ARootState * param_1)","8"
"GetEventEmitter","00466950","TEmitter<class_AMiniGameController\,struct_AMiniGameController::MiniGameControllerEvent> * GetEventEmitter(AMiniGameController * this)","6"
"SetDefaultParamList","00466960","void SetDefaultParamList(AMiniGameController * this\, int * param_1)","12"
"MiniGameParamListNode","00466970","undefined MiniGameParamListNode(MiniGameParamListNode * this\, MiniGameParamListNode * param_1)","93"
"~MiniGameParamListNode","004669d0","void ~MiniGameParamListNode(MiniGameParamListNode * this)","89"
"MiniGameParamListNode","00466a30","undefined MiniGameParamListNode(MiniGameParamListNode * this)","75"
"GetMiniGameStatsHud","00466a80","AMiniGameStatsHudElement * GetMiniGameStatsHud(AMiniGameState * this)","9"
"GetMouseContextHud","00466a90","AMiniGameMouseHudElement * GetMouseContextHud(AMiniGameState * this)","9"
"GetRadarHud","00466aa0","ARadarHudElement * GetRadarHud(AMiniGameState * this)","9"
"GetTimeLeftHud","00466ab0","ATimeLeftHudElement * GetTimeLeftHud(AMiniGameState * this)","9"
"GetScoreHud","00466ac0","AScoreHudElement * GetScoreHud(AMiniGameState * this)","9"
"IsCapturingPhoto","00466ad0","bool IsCapturingPhoto(AMiniGameState * this)","32"
"EnableTargettingRectical","00466af0","void EnableTargettingRectical(AMiniGameState * this\, bool param_1)","13"
"GetProxList","00466b00","TArray<class_AMiniGameState::ProxUnit> * GetProxList(AMiniGameState * this)","9"
"SetScopeZoomScale","00466b10","void SetScopeZoomScale(AMiniGameState * this\, float param_1)","13"
"SetExtraBulletsLeft","00466b20","void SetExtraBulletsLeft(AMiniGameState * this\, int param_1)","20"
"GetBulletsPerMag","00466b40","int GetBulletsPerMag(AMiniGameState * this)","14"
"GetTotalBulletsLeft","00466b50","int GetTotalBulletsLeft(AMiniGameState * this)","47"
"GetExtraBulletsLeft","00466b80","int GetExtraBulletsLeft(AMiniGameState * this)","14"
"GetBulletsLeftInMag","00466b90","int GetBulletsLeftInMag(AMiniGameState * this)","14"
"IsBulletLoaded","00466ba0","bool IsBulletLoaded(AMiniGameState * this)","15"
"SetExtraBulletsLeft","00466bb0","void SetExtraBulletsLeft(AMiniGameState * this\, Weapon param_1\, int param_2)","18"
"GetBulletsPerMag","00466bd0","int GetBulletsPerMag(AMiniGameState * this\, Weapon param_1)","14"
"GetTotalBulletsLeft","00466be0","int GetTotalBulletsLeft(AMiniGameState * this\, Weapon param_1)","47"
"GetExtraBulletsLeft","00466c10","int GetExtraBulletsLeft(AMiniGameState * this\, Weapon param_1)","14"
"GetBulletsLeftInMag","00466c20","int GetBulletsLeftInMag(AMiniGameState * this\, Weapon param_1)","14"
"ClearChamber","00466c30","void ClearChamber(AMiniGameState * this\, Weapon param_1)","33"
"IsBulletLoaded","00466c60","bool IsBulletLoaded(AMiniGameState * this\, Weapon param_1)","15"
"IsScenario","00466c70","bool IsScenario(AMiniGameState * this)","5"
"GetState","00466c80","State GetState(AMiniGameState * this)","4"
"EnableDinoPhotoScores","00466c90","void EnableDinoPhotoScores(AMiniGameState * this\, bool param_1)","13"
"IsShooting","00466ca0","bool IsShooting(AMiniGameState * this)","12"
"IsTakingPhoto","00466cb0","bool IsTakingPhoto(AMiniGameState * this)","12"
"AUnitSelectionHudElement","00466cc0","undefined AUnitSelectionHudElement(AUnitSelectionHudElement * this\, AUnitSelectionHudElement * param_1)","211"
"GetUnitSelectionListener","00466da0","TListener<class_AUnitSelectionHudElement\,class_AUnitSelection\,class_AUnitSelection::UnitSelectionEvent> * GetUnitSelectionListener(AUnitSelectionHudElement * this)","6"
"GetBBox","00466db0","void GetBBox(AUnitSelectionHudElement * this\, TGUIRectangle * param_1)","20"
"SetSize","00466dd0","void SetSize(AUnitSelectionHudElement * this\, int param_1\, int param_2)","3"
"SetPosition","00466de0","void SetPosition(AUnitSelectionHudElement * this\, int param_1\, int param_2)","3"
"GetPosition","00466df0","void GetPosition(AUnitSelectionHudElement * this\, int * param_1\, int * param_2)","20"
"GetHeight","00466e10","int GetHeight(AUnitSelectionHudElement * this)","3"
"GetWidth","00466e20","int GetWidth(AUnitSelectionHudElement * this)","3"
"operator=","00466e30","UnitSelectionEvent * operator=(UnitSelectionEvent * this\, UnitSelectionEvent * param_1)","95"
"~UnitSelectionEvent","00466e90","void ~UnitSelectionEvent(UnitSelectionEvent * this)","35"
"UnitSelectionEvent","00466ec0","undefined UnitSelectionEvent(UnitSelectionEvent * this\, UnitSelectionEvent * param_1)","60"
"GetColour","00466f00","TGUIColour GetColour(UnitSelectionEvent * this)","30"
"GetType","00466f20","UnitSelectionType GetType(UnitSelectionEvent * this)","4"
"GetUnit","00466f30","TManagedPtr<class_AUnitProxy> GetUnit(UnitSelectionEvent * this)","30"
"UnitSelectionEvent","00466f50","undefined UnitSelectionEvent(UnitSelectionEvent * this\, TManagedPtr<class_AUnitProxy> param_1\, UnitSelectionType param_2\, TGUIColour * param_3)","86"
"IsCalloutEnabled","00466fb0","bool IsCalloutEnabled(AUnitSelection * this)","5"
"EnableCallouts","00466fc0","void EnableCallouts(AUnitSelection * this\, bool param_1)","20"
"GetUnitTargetEmitter","00466fe0","TEmitter<class_AUnitSelection\,class_AUnitSelection::UnitSelectionEvent> * GetUnitTargetEmitter(AUnitSelection * this)","9"
"GetUnitSelectionEmitter","00466ff0","TEmitter<class_AUnitSelection\,class_AUnitSelection::UnitSelectionEvent> * GetUnitSelectionEmitter(AUnitSelection * this)","9"
"GetPrevNearestUnit","00467000","AUnit * GetPrevNearestUnit(AUnit * param_1)","19"
"GetNextNearestUnit","00467020","AUnit * GetNextNearestUnit(AUnit * param_1)","19"
"GetPrevUnitSameType","00467040","AUnit * GetPrevUnitSameType(AUnit * param_1)","19"
"GetNextUnitSameType","00467060","AUnit * GetNextUnitSameType(AUnit * param_1)","19"
"GetPrevUnit","00467080","AUnit * GetPrevUnit(AUnit * param_1)","19"
"GetNextUnit","004670a0","AUnit * GetNextUnit(AUnit * param_1)","19"
"GetSelectionColour","004670c0","TGUIColour GetSelectionColour(UnitSelectionColour param_1)","211"
"OnDeactivate","004671a0","void OnDeactivate(AUnitSelection * this)","7"
"OnActivate","004671b0","void OnActivate(AUnitSelection * this)","7"
"SetStateUpdatedNeeded","004671c0","void SetStateUpdatedNeeded(AUnitSelection * this)","8"
"SelectPrevUnit","004671d0","void SelectPrevUnit(AUnitSelection * this)","17"
"SelectNextUnit","004671f0","void SelectNextUnit(AUnitSelection * this)","17"
"SelectPrevUnitSameType","00467210","void SelectPrevUnitSameType(AUnitSelection * this)","17"
"SelectNextUnitSameType","00467230","void SelectNextUnitSameType(AUnitSelection * this)","17"
"SelectPrevUnitNearest","00467250","void SelectPrevUnitNearest(AUnitSelection * this)","17"
"SelectNextUnitNearest","00467270","void SelectNextUnitNearest(AUnitSelection * this)","17"
"GetWeaponConstant","00467290","int GetWeaponConstant(AShootingUnitComponent * this\, eIntConstants * param_1)","21"
"GetWeaponConstant","004672b0","float GetWeaponConstant(AShootingUnitComponent * this\, eFloatConstants * param_1)","21"
"SetTargetShot","004672d0","void SetTargetShot(AShootingUnitComponent * this\, bool param_1)","10"
"GetMaxRange","004672e0","float GetMaxRange(Weapon param_1)","22"
"GetMinRange","00467300","float GetMinRange(Weapon param_1)","22"
"GetRecoilTime","00467320","float GetRecoilTime(Weapon param_1)","22"
"GetRecoilMagnitude","00467340","float GetRecoilMagnitude(Weapon param_1)","22"
"GetTimeToLoadRound","00467360","float GetTimeToLoadRound(Weapon param_1)","22"
"GetReloadWait","00467380","float GetReloadWait(Weapon param_1)","22"
"GetShotsPerClip","004673a0","int GetShotsPerClip(Weapon param_1)","22"
"SetTurnToAim","004673c0","void SetTurnToAim(AShootingUnitComponent * this\, bool param_1)","10"
"SetPlayRecoilAnimation","004673d0","void SetPlayRecoilAnimation(AShootingUnitComponent * this\, bool param_1)","10"
"SetPlayAnimations","004673e0","void SetPlayAnimations(AShootingUnitComponent * this\, bool param_1)","10"
"IsPlayingRecoilAnim","004673f0","bool IsPlayingRecoilAnim(AShootingUnitComponent * this)","5"
"HasTarget","00467400","bool HasTarget(AShootingUnitComponent * this)","24"
"IsTargetShot","00467420","bool IsTargetShot(AShootingUnitComponent * this)","5"
"GetTarget","00467430","AUnit * GetTarget(AShootingUnitComponent * this)","14"
"GetWeapon","00467440","Weapon GetWeapon(AShootingUnitComponent * this)","4"
"GetInstance","00467450","ASoundManager * GetInstance(void)","6"
"GetFileSystem","00467460","TFileSystem * GetFileSystem(void)","6"
"GetStringBuffer","00467470","char * GetStringBuffer(void)","6"
"IsPaused","00467480","bool IsPaused(void)","14"
"IsHardwareMode","00467490","bool IsHardwareMode(void)","8"
"operator=","004674a0","AOptions * operator=(AOptions * this\, AOptions * param_1)","63"
"AOptions","004674e0","undefined AOptions(AOptions * this\, AOptions * param_1)","69"
"GetAutoSaveState","00467530","int GetAutoSaveState(AOptions * this)","4"
"SetAutoSaveState","00467540","void SetAutoSaveState(AOptions * this\, int param_1)","10"
"GetCurrentProperties","00467550","PProperties * GetCurrentProperties(AOptions * this)","4"
"GetOptionChangeEmitter","00467560","TEmitter<class_AOptions\,class_AOptionChangeEvent> * GetOptionChangeEmitter(AOptions * this)","6"
"GetOptionLoadEmitter","00467570","TEmitter<class_AOptions\,class_AOptionLoadEvent> * GetOptionLoadEmitter(AOptions * this)","6"
"GetOptions","00467580","AOptions * GetOptions(void)","6"
"GetGameController","004675a0","AGameController * GetGameController(void)","6"
"GetStaticWidgetInfo","004675b0","TGUIWidgetInfo * GetStaticWidgetInfo(void)","6"
"IsViewportVisible","004675c0","bool IsViewportVisible(AGUIRenderObject * this)","8"
"GetLight","004675d0","TLightingNode * GetLight(AGUIRenderObject * this\, int param_1)","16"
"GetCamera","004675e0","TCameraObject * GetCamera(AGUIRenderObject * this)","7"
"GetViewport","004675f0","TViewport * GetViewport(AGUIRenderObject * this)","7"
"GetScene","00467600","TScene * GetScene(AGUIRenderObject * this)","7"
"GetStaticWidgetInfo","00467610","TGUIWidgetInfo * GetStaticWidgetInfo(void)","6"
"SetHintType","00467620","void SetHintType(AGUIMenuItem * this\, HintTypes param_1)","10"
"GetType","00467630","ItemType GetType(AGUIMenuItem * this)","4"
"GetHint","00467640","TLString GetHint(AGUIMenuItem * this)","33"
"GetCommand","00467670","TPCString GetCommand(AGUIMenuItem * this)","30"
"Clone","00467690","AGUIMenuItem * Clone(AGUIMenuItem * this)","213"
"AddItem","00467770","void AddItem(AGUIMenuItem * this\, AGUIMenuItem * param_1)","14"
"AGUIMenuItem","00467780","undefined AGUIMenuItem(AGUIMenuItem * this\, AGUIMenuItem * param_1)","163"
"~AGUIMenuItem","00467830","void ~AGUIMenuItem(AGUIMenuItem * this)","65"
"AGUIMenuItem","00467880","undefined AGUIMenuItem(AGUIMenuItem * this\, PGUIMenuTreeItemStyle * param_1\, TPCString param_2\, TLString param_3\, PPropertyValue * param_4\, PPropertyValue * param_5\, ItemType param_6\, unsigned_int param_7)","311"
"AGUIMenuItem","004679c0","undefined AGUIMenuItem(AGUIMenuItem * this\, PGUIMenuTreeItemStyle * param_1\, TPCString param_2\, TLString * param_3\, PPropertyValue * param_4\, PPropertyValue * param_5\, ItemType param_6\, unsigned_int param_7)","320"
"AGUIMenuItem","00467b10","undefined AGUIMenuItem(AGUIMenuItem * this\, PGUIMenuTreeItemStyle * param_1\, TPCString param_2\, TLString param_3\, PPropertyValue * param_4\, ItemType param_5\, unsigned_int param_6)","243"
"AGUIMenuItem","00467c10","undefined AGUIMenuItem(AGUIMenuItem * this\, PGUIMenuTreeItemStyle * param_1\, TPCString param_2\, TLString * param_3\, PPropertyValue * param_4\, ItemType param_5\, unsigned_int param_6)","239"
"AGUIMenuItem","00467d10","undefined AGUIMenuItem(AGUIMenuItem * this\, PGUIMenuTreeItemStyle * param_1\, unsigned_int param_2)","171"
"BuildBaseZone","00467dc0","void BuildBaseZone(ARoadNetwork * this)","1"
"AddObstacle","00467dd0","void AddObstacle(ARoadNetwork * this\, AZone * param_1)","3"
"AddObstacle","00467de0","void AddObstacle(ARoadNetwork * this\, TVector2 * param_1\, int param_2\, bool param_3)","3"
"GetUnitTypeForRoad","00467df0","AUnitFactoryUnitType * GetUnitTypeForRoad(void)","6"
"GetRoadAddonType","00467e00","ARoadAddonType * GetRoadAddonType(ARoadNetwork * this\, int param_1)","13"
"GetRoadPoint","00467e10","ARoadPoint * GetRoadPoint(ARoadNetwork * this\, TVector3 * param_1)","51"
"GetRoadPoint","00467e50","ARoadPoint * GetRoadPoint(ARoadNetwork * this\, TVector2 * param_1)","51"
"operator=","00467e90","ARoadAddonType * operator=(ARoadAddonType * this\, ARoadAddonType * param_1)","93"
"~ARoadAddonType","00467ef0","void ~ARoadAddonType(ARoadAddonType * this)","10"
"ARoadAddonType","00467f00","undefined ARoadAddonType(ARoadAddonType * this\, ARoadAddonType * param_1)","59"
"GetModelFile","00467f40","AModel * GetModelFile(ARoadAddonType * this)","24"
"GetUnitFactoryType","00467f60","AUnitFactoryUnitType * GetUnitFactoryType(ARoadAddonType * this)","4"
"GetParticleType","00467f70","int GetParticleType(ARoadAddonType * this)","4"
"GetModelName","00467f80","TPCString GetModelName(ARoadAddonType * this)","29"
"GetAutoWeight","00467fa0","int GetAutoWeight(ARoadAddonType * this)","4"
"GetPositionStyle","00467fb0","PositionStyle GetPositionStyle(ARoadAddonType * this)","4"
"GetAccessorTable","00467fc0","AAccessorTable * GetAccessorTable(AUnitDinosaur * this)","6"
"StaticGetAccessorTable","00467fd0","AAccessorTable * StaticGetAccessorTable(void)","6"
"GetKillCause","00467fe0","unsigned_int GetKillCause(AUnitDinosaur * this)","7"
"GetDNAMod","00467ff0","AGeneticMod * GetDNAMod(AUnitDinosaur * this)","9"
"GetNumTraits","00468000","int GetNumTraits(AUnitDinosaur * this)","6"
"GetDinoIndex","00468010","int GetDinoIndex(AUnitDinosaur * this)","7"
"StaticGetAccessorTable","00468020","AAccessorTable * StaticGetAccessorTable(void)","6"
"IsCommandListEmpty","00468030","AParam IsCommandListEmpty(AActiveUnit * this\, AParams * param_1)","26"
"DeleteCurrentCommand","00468050","AParam DeleteCurrentCommand(AActiveUnit * this\, AParams * param_1)","26"
"GetNearbyLure","00468070","TManagedPtr<class_AUnitProxy> * GetNearbyLure(AActiveUnit * this)","9"
"IsNearLure","00468080","bool IsNearLure(AActiveUnit * this)","18"
"SetNoLongerNearLure","004680a0","void SetNoLongerNearLure(AActiveUnit * this)","18"
"SetStuckFlag","004680c0","void SetStuckFlag(AActiveUnit * this\, bool param_1)","3"
"IsCommandListEmpty","004680d0","bool IsCommandListEmpty(AActiveUnit * this)","13"
"GetDriveRate","004680e0","float GetDriveRate(AActiveUnit * this\, unsigned_int param_1)","14"
"AddCommandInstruction","004680f0","void AddCommandInstruction(AActiveUnit * this\, eDirectiveTypesEnum param_1)","20"
