"Name","Location","FunctionSignature","FunctionSize"
"GetFileSystem","10007190","TFileSystem * GetFileSystem(TFile * this)","4"
"GetDate","100071a0","__uint64 GetDate(TFile * this)","5"
"operator=","100071b0","TFileSystem * operator=(TFileSystem * this\, TFileSystem * param_1)","65"
"TFileSystem","10007200","undefined TFileSystem(TFileSystem * this\, TFileSystem * param_1)","61"
"GetPrefix","10007240","TCString * GetPrefix(TFileSystem * this)","6"
"GetName","10007250","TCString * GetName(TFileSystem * this)","6"
"GetNextFile","10007260","bool GetNextFile(TFileSystem * this\, TCString * param_1\, uint param_2)","5"
"GetFirstFile","10007270","bool GetFirstFile(TFileSystem * this\, TCString * param_1\, TCString * param_2\, uint param_3)","5"
"RemoveFile","10007280","bool RemoveFile(TFileSystem * this\, TCString * param_1)","8"
"TSysPathIter","10007290","undefined TSysPathIter(TSysPathIter * this\, TCString * param_1)","18"
"operator=","100072b0","TFileManager * operator=(TFileManager * this\, TFileManager * param_1)","77"
"TFileManager","10007300","undefined TFileManager(TFileManager * this\, TFileManager * param_1)","77"
"GetFileManager","10007350","TFileManager * GetFileManager(void)","6"
"operator=","10007360","TNullEvent * operator=(TNullEvent * this\, TNullEvent * param_1)","5"
"operator=","10007370","TGenericListener * operator=(TGenericListener * this\, TGenericListener * param_1)","37"
"operator=","100073a0","TGenericEmitter * operator=(TGenericEmitter * this\, TGenericEmitter * param_1)","25"
"operator=","100073c0","TMutexLock * operator=(TMutexLock * this\, TMutexLock * param_1)","13"
"~TMutexLock","100073d0","void ~TMutexLock(TMutexLock * this)","10"
"TMutexLock","100073e0","undefined TMutexLock(TMutexLock * this\, TMutex * param_1)","21"
"TMutexLock","10007400","undefined TMutexLock(TMutexLock * this)","9"
"operator=","10007410","TThreadManager * operator=(TThreadManager * this\, TThreadManager * param_1)","55"
"GetThreadManager","10007450","TThreadManager * GetThreadManager(void)","6"
"~TThreadManager","10007460","void ~TThreadManager(TThreadManager * this)","22"
"TThreadManager","10007480","undefined TThreadManager(TThreadManager * this)","23"
"operator=","100074a0","TThread * operator=(TThread * this\, TThread * param_1)","47"
"TThread","100074d0","undefined TThread(TThread * this\, TThread * param_1)","39"
"TThread","10007500","undefined TThread(TThread * this)","18"
"operator=","10007520","TGenericFifo * operator=(TGenericFifo * this\, TGenericFifo * param_1)","91"
"~TGenericFifo","10007580","void ~TGenericFifo(TGenericFifo * this)","92"
"TGenericFifo","100075e0","undefined TGenericFifo(TGenericFifo * this)","11"
"operator=","100075f0","TMutex * operator=(TMutex * this\, TMutex * param_1)","13"
"~TMutex","10007600","void ~TMutex(TMutex * this)","43"
"TMutex","10007630","undefined TMutex(TMutex * this)","9"
"operator=","10007640","TSemaphore * operator=(TSemaphore * this\, TSemaphore * param_1)","13"
"~TSemaphore","10007650","void ~TSemaphore(TSemaphore * this)","43"
"TSemaphore","10007680","undefined TSemaphore(TSemaphore * this)","9"
"operator=","10007690","TNode * operator=(TNode * this\, TNode * param_1)","25"
"Remove","100076b0","void Remove(TNode * this)","21"
"SetPriority","100076d0","void SetPriority(TNode * this\, int param_1)","10"
"GetPriority","100076e0","int GetPriority(TNode * this)","4"
"IsLinked","100076f0","bool IsLinked(TNode * this)","8"
"Prev","10007700","TNode * Prev(TNode * this)","4"
"Next","10007710","TNode * Next(TNode * this)","3"
"TNode","10007720","undefined TNode(TNode * this\, TUninitialised param_1)","5"
"TNode","10007730","undefined TNode(TNode * this)","15"
"Reset","10007740","void Reset(TNode * this)","13"
"operator=","10007750","TGenericPriList * operator=(TGenericPriList * this\, TGenericPriList * param_1)","19"
"~TGenericPriList","10007770","void ~TGenericPriList(TGenericPriList * this)","10"
"TGenericPriList","10007780","undefined TGenericPriList(TGenericPriList * this)","8"
"RemoveAll","10007790","void RemoveAll(TGenericPriList * this)","10"
"RemoveTail","100077a0","void RemoveTail(TGenericPriList * this)","28"
"RemoveHead","100077c0","void RemoveHead(TGenericPriList * this)","27"
"Insert","100077e0","void Insert(TGenericPriList * this\, TNode * param_1\, int param_2)","37"
"IsEmpty","10007810","bool IsEmpty(TGenericPriList * this)","8"
"REnd","10007820","TNode * REnd(TGenericPriList * this)","3"
"RBegin","10007830","TNode * RBegin(TGenericPriList * this)","4"
"End","10007840","TNode * End(TGenericPriList * this)","3"
"Begin","10007850","TNode * Begin(TGenericPriList * this)","3"
"Tail","10007860","TNode * Tail(TGenericPriList * this)","4"
"Head","10007870","TNode * Head(TGenericPriList * this)","3"
"operator=","10007880","TNode * operator=(TNode * this\, TNode * param_1)","19"
"Remove","100078a0","void Remove(TNode * this)","21"
"InsertAfter","100078c0","void InsertAfter(TNode * this\, TNode * param_1)","77"
"InsertBefore","10007910","void InsertBefore(TNode * this\, TNode * param_1)","79"
"IsLinked","10007960","bool IsLinked(TNode * this)","8"
"Prev","10007970","TNode * Prev(TNode * this)","4"
"Next","10007980","TNode * Next(TNode * this)","3"
"TNode","10007990","undefined TNode(TNode * this\, TUninitialised param_1)","5"
"TNode","100079a0","undefined TNode(TNode * this)","8"
"Reset","100079b0","void Reset(TNode * this)","6"
"operator=","100079c0","TGenericDList * operator=(TGenericDList * this\, TGenericDList * param_1)","19"
"InsertSegmentAtTail","100079e0","void InsertSegmentAtTail(TGenericDList * this\, TNode * param_1\, TNode * param_2)","29"
"InsertSegmentAtHead","10007a00","void InsertSegmentAtHead(TGenericDList * this\, TNode * param_1\, TNode * param_2)","28"
"RemoveSegment","10007a20","void RemoveSegment(TNode * param_1\, TNode * param_2)","33"
"InsertSegmentAfter","10007a50","void InsertSegmentAfter(TNode * param_1\, TNode * param_2\, TNode * param_3)","32"
"InsertSegmentBefore","10007a70","void InsertSegmentBefore(TNode * param_1\, TNode * param_2\, TNode * param_3)","33"
"RemoveTail","10007aa0","void RemoveTail(TGenericDList * this)","30"
"RemoveHead","10007ac0","void RemoveHead(TGenericDList * this)","30"
"InsertTail","10007ae0","void InsertTail(TGenericDList * this\, TNode * param_1)","19"
"InsertHead","10007b00","void InsertHead(TGenericDList * this\, TNode * param_1)","19"
"IsEmpty","10007b20","bool IsEmpty(TGenericDList * this)","21"
"REnd","10007b40","TNode * REnd(TGenericDList * this)","3"
"RBegin","10007b50","TNode * RBegin(TGenericDList * this)","10"
"End","10007b60","TNode * End(TGenericDList * this)","3"
"Begin","10007b70","TNode * Begin(TGenericDList * this)","10"
"Tail","10007b80","TNode * Tail(TGenericDList * this)","10"
"Head","10007b90","TNode * Head(TGenericDList * this)","10"
"~TGenericDList","10007ba0","void ~TGenericDList(TGenericDList * this)","10"
"TGenericDList","10007bb0","undefined TGenericDList(TGenericDList * this)","14"
"operator=","10007bc0","TSystem * operator=(TSystem * this\, TSystem * param_1)","5"
"GetTempWString","10007bd0","ushort * GetTempWString(void)","6"
"GetTempCString","10007be0","char * GetTempCString(void)","6"
"GetScratchMem","10007bf0","uchar * GetScratchMem(void)","6"
"operator=","10007c00","TDateTime * operator=(TDateTime * this\, TDateTime * param_1)","19"
"TObject","10007c20","undefined TObject(TObject * this\, TObject * param_1)","11"
"operator=","10007c30","TClass * operator=(TClass * this\, TClass * param_1)","67"
"operator=","10007c80","TRefCounted * operator=(TRefCounted * this\, TRefCounted * param_1)","5"
"TRefCounted","10007c90","undefined TRefCounted(TRefCounted * this\, TRefCounted * param_1)","11"
"DecRefCount","10007ca0","int DecRefCount(TRefCounted * this\, void * param_1)","8"
"IncRefCount","10007cb0","int IncRefCount(TRefCounted * this\, void * param_1)","8"
"~TRefCounted","10007cc0","void ~TRefCounted(TRefCounted * this)","1"
"TRefCounted","10007cd0","undefined TRefCounted(TRefCounted * this)","9"
"GetRefCount","10007ce0","int GetRefCount(TRefCounted * this)","3"
"operator=","10007cf0","TDebug * operator=(TDebug * this\, TDebug * param_1)","5"
"IsDebugFileEnabled","10007d00","bool IsDebugFileEnabled(void)","8"
"GetDebugFile","10007d10","TFile * GetDebugFile(void)","6"
"Create","10007d20","bool Create(TSemaphore * this\, int param_1\, int param_2)","163"
"Destroy","10007dd0","bool Destroy(TSemaphore * this)","80"
"Signal","10007e30","bool Signal(TSemaphore * this)","78"
"Wait","10007e90","bool Wait(TSemaphore * this)","76"
"Poll","10007ee0","bool Poll(TSemaphore * this)","76"
"Create","10007f30","bool Create(TMutex * this)","70"
"Destroy","10007f80","bool Destroy(TMutex * this)","80"
"Lock","10007fe0","bool Lock(TMutex * this\, uint param_1)","103"
"Unlock","10008050","bool Unlock(TMutex * this)","74"
"Create","100080a0","bool Create(TGenericFifo * this\, void * param_1\, int param_2\, int param_3)","319"
"Destroy","100081f0","bool Destroy(TGenericFifo * this)","128"
"Push","10008270","bool Push(TGenericFifo * this\, void * param_1\, uint param_2)","233"
"Pop","10008360","bool Pop(TGenericFifo * this\, void * param_1\, uint param_2)","233"
"Create","10008450","bool Create(TThread * this\, STACKSIZE param_1\, PRIORITY param_2\, uint param_3)","294"
"Destroy","10008580","bool Destroy(TThread * this)","263"
"Suspend","10008690","bool Suspend(TThread * this)","80"
"Resume","100086f0","bool Resume(TThread * this)","80"
"Exit","10008750","void Exit(void)","88"
"Exit","100087b0","void Exit(TThread * param_1)","247"
"SetPriority","100088b0","bool SetPriority(void * param_1\, PRIORITY param_2)","117"
"GetPriority","10008930","bool GetPriority(void * param_1\, PRIORITY * param_2)","124"
"Create","100089b0","void Create(TThreadManager * this)","73"
"Destroy","10008a00","void Destroy(TThreadManager * this)","77"
"InsertThread","10008a50","void InsertThread(TThreadManager * this\, TThread * param_1)","113"
"FindThread","10008ad0","TThread * FindThread(TThreadManager * this\, uint param_1)","89"
"RemoveThread","10008bb0","void RemoveThread(TThreadManager * this\, TThread * param_1)","57"
"Entry","10008bf0","uint Entry(void * param_1)","24"
"GetCurrentPriority","10008c10","bool GetCurrentPriority(PRIORITY * param_1)","22"
"SetCurrentPriority","10008c30","bool SetCurrentPriority(PRIORITY param_1)","22"
"Yield","10008c50","bool Yield(void)","14"
"GetPriority","10008c60","bool GetPriority(TThread * this\, PRIORITY * param_1)","21"
"SetPriority","10008c80","bool SetPriority(TThread * this\, PRIORITY param_1)","21"
"ComparePlane","10008ca0","PlaneComparison ComparePlane(TAABox * this\, TPlane * param_1)","123"
"BoxUnion","10008d20","void BoxUnion(TAABox * this\, TAABox * param_1\, uint param_2)","556"
"TAABox","10008f60","undefined TAABox(TAABox * this)","3"
"SetBox","10008f70","void SetBox(TAABox * this\, float * param_1\, float * param_2\, float * param_3\, float * param_4\, float * param_5\, float * param_6)","58"
"SetBounds","10008fb0","void SetBounds(TAABox * this\, TVector3 * param_1)","24"
"SetCentre","10008fd0","void SetCentre(TAABox * this\, TVector3 * param_1)","23"
"GetBounds","10008ff0","TVector3 * GetBounds(TAABox * this)","6"
"GetCentre","10009000","TVector3 * GetCentre(TAABox * this)","3"
"operator=","10009010","TAABox * operator=(TAABox * this\, TAABox * param_1)","43"
"TAABox","10009040","undefined TAABox(TAABox * this\, TAABox * param_1)","43"
"TAABox","10009070","undefined TAABox(TAABox * this\, float * param_1\, float * param_2\, float * param_3\, float * param_4\, float * param_5\, float * param_6)","60"
"TAABox","100090b0","undefined TAABox(TAABox * this\, TVector3 * param_1\, TVector3 * param_2)","46"
"Negate","100090e0","void Negate(TPlane * this\, TPlane * param_1)","17"
"Negate","10009100","void Negate(TPlane * this)","10"
"SetD","10009110","void SetD(TPlane * this\, float param_1)","10"
"GetD","10009120","float GetD(TPlane * this)","4"
"SetNormal","10009130","void SetNormal(TPlane * this\, float param_1\, float param_2\, float param_3)","23"
"SetNormal","10009150","void SetNormal(TPlane * this\, TVector3 * param_1)","23"
"GetNormal","10009170","TVector3 * GetNormal(TPlane * this)","3"
"SetPoint","10009180","void SetPoint(TPlane * this\, TVector3 * param_1)","21"
"GetPoint","100091a0","void GetPoint(TPlane * this\, TVector3 * param_1)","23"
"operator=","100091c0","TPlane * operator=(TPlane * this\, TPlane * param_1)","31"
"TPlane","100091e0","undefined TPlane(TPlane * this\, TPlane * param_1)","31"
"TPlane","10009200","undefined TPlane(TPlane * this\, TVector4 * param_1)","31"
"TPlane","10009220","undefined TPlane(TPlane * this\, TVector3 * param_1\, float param_2)","32"
"TPlane","10009240","undefined TPlane(TPlane * this\, TVector3 * param_1\, TVector3 * param_2)","43"
"TPlane","10009270","undefined TPlane(TPlane * this\, float param_1\, float param_2\, float param_3\, float param_4)","32"
"Set","10009290","void Set(TPlane * this\, TPlane * param_1)","29"
"Set","100092b0","void Set(TPlane * this\, TVector4 * param_1)","29"
"Set","100092d0","void Set(TPlane * this\, TVector3 * param_1\, float param_2)","30"
"Set","100092f0","void Set(TPlane * this\, TVector3 * param_1\, TVector3 * param_2)","41"
"Set","10009320","void Set(TPlane * this\, float param_1\, float param_2\, float param_3\, float param_4)","30"
"AsNormal","10009340","TVector3 * AsNormal(TPlane * this)","3"
"AsNormal","10009350","TVector3 * AsNormal(TPlane * this)","3"
"AsVector4","10009360","TVector4 * AsVector4(TPlane * this)","3"
"AsVector4","10009370","TVector4 * AsVector4(TPlane * this)","3"
"TPlane","10009380","undefined TPlane(TPlane * this)","3"
"operator=","10009390","TVector4 * operator=(TVector4 * this\, TVector4 * param_1)","31"
"AsVector3","100093b0","TVector3 * AsVector3(TVector4 * this)","3"
"AsVector3","100093c0","TVector3 * AsVector3(TVector4 * this)","3"
"DotProduct","100093d0","float DotProduct(TVector4 * this\, TVector4 * param_1)","18"
"DotProduct4","100093f0","float DotProduct4(TVector4 * this\, TVector4 * param_1)","18"
"DotProduct3","10009410","float DotProduct3(TVector4 * this\, TVector4 * param_1)","18"
"Lerp3","10009430","void Lerp3(TVector4 * this\, TVector4 * param_1\, float param_2)","23"
"Lerp","10009450","void Lerp(TVector4 * this\, TVector4 * param_1\, float param_2)","23"
"DotProduct","10009470","float DotProduct(TVector4 * param_1\, TVector4 * param_2)","22"
"Negate","10009490","void Negate(TVector4 * this)","10"
"Negate","100094a0","void Negate(TVector4 * this\, TVector4 * param_1)","17"
"Set","100094c0","void Set(TVector4 * this\, TVector3 * param_1)","30"
"Set","100094e0","void Set(TVector4 * this\, float param_1\, float param_2\, float param_3\, float param_4)","30"
"operator!=","10009500","bool operator!=(TVector4 * this\, TVector4 * param_1)","27"
"operator==","10009520","bool operator==(TVector4 * this\, TVector4 * param_1)","17"
"operator/=","10009540","TVector4 * operator/=(TVector4 * this\, float param_1)","21"
"operator/=","10009560","TVector4 * operator/=(TVector4 * this\, TVector4 * param_1)","21"
"operator*=","10009580","TVector4 * operator*=(TVector4 * this\, float param_1)","21"
"operator*=","100095a0","TVector4 * operator*=(TVector4 * this\, TVector4 * param_1)","21"
"operator-=","100095c0","TVector4 * operator-=(TVector4 * this\, TVector4 * param_1)","21"
"operator+=","100095e0","TVector4 * operator+=(TVector4 * this\, TVector4 * param_1)","21"
"operator()","10009600","float * operator()(TVector4 * this\, uint param_1)","10"
"operator()","10009610","float * operator()(TVector4 * this\, uint param_1)","10"
"TVector4","10009620","undefined TVector4(TVector4 * this\, float * param_1)","21"
"TVector4","10009640","undefined TVector4(TVector4 * this\, float param_1\, float param_2\, float param_3\, float param_4)","42"
"TVector4","10009670","undefined TVector4(TVector4 * this\, TVector4 * param_1)","31"
"TVector4","10009690","undefined TVector4(TVector4 * this)","3"
"operator=","100096a0","TVector3 * operator=(TVector3 * this\, TVector3 * param_1)","25"
"DotProduct","100096c0","float DotProduct(TVector3 * this\, TVector3 * param_1)","18"
"Set","100096e0","void Set(TVector3 * this\, float param_1\, float param_2\, float param_3)","23"
"operator!=","10009700","bool operator!=(TVector3 * this\, TVector3 * param_1)","27"
"operator==","10009720","bool operator==(TVector3 * this\, TVector3 * param_1)","17"
"operator/=","10009740","TVector3 * operator/=(TVector3 * this\, float param_1)","21"
"operator/=","10009760","TVector3 * operator/=(TVector3 * this\, TVector3 * param_1)","21"
"operator*=","10009780","TVector3 * operator*=(TVector3 * this\, float param_1)","21"
"operator*=","100097a0","TVector3 * operator*=(TVector3 * this\, TVector3 * param_1)","21"
"operator-=","100097c0","TVector3 * operator-=(TVector3 * this\, TVector3 * param_1)","21"
"operator+=","100097e0","TVector3 * operator+=(TVector3 * this\, TVector3 * param_1)","21"
"operator()","10009800","float * operator()(TVector3 * this\, uint param_1)","10"
"operator()","10009810","float * operator()(TVector3 * this\, uint param_1)","10"
"TVector3","10009820","undefined TVector3(TVector3 * this\, float * param_1)","21"
"TVector3","10009840","undefined TVector3(TVector3 * this\, float param_1\, float param_2\, float param_3)","31"
"TVector3","10009860","undefined TVector3(TVector3 * this\, TVector3 * param_1)","25"
"TVector3","10009880","undefined TVector3(TVector3 * this)","3"
"Create","10009910","bool Create(TBitArray * this\, int param_1\, int param_2)","122"
"Reset","10009990","void Reset(TBitArray * this)","134"
"FindFirstSetBit","10009a20","int FindFirstSetBit(TBitArray * this)","717"
"FindFirstClearBit","10009cf0","int FindFirstClearBit(TBitArray * this)","718"
"SetBit","10009fc0","void SetBit(TBitArray * this\, int param_1\, int param_2)","149"
"Destroy","1000a060","void Destroy(TBitArray * this)","21"
"operator=","1000a080","TBitArray * operator=(TBitArray * this\, TBitArray * param_1)","25"
"ToggleBit","1000a0a0","void ToggleBit(TBitArray * this\, int param_1)","83"
"ClearBit","1000a100","void ClearBit(TBitArray * this\, int param_1)","86"
"SetBit","1000a160","void SetBit(TBitArray * this\, int param_1)","83"
"GetBit","1000a1c0","int GetBit(TBitArray * this\, int param_1)","81"
"~TBitArray","1000a220","void ~TBitArray(TBitArray * this)","10"
"TBitArray","1000a230","undefined TBitArray(TBitArray * this\, int param_1\, int param_2)","26"
"TBitArray","1000a250","undefined TBitArray(TBitArray * this)","13"
"operator=","1000a260","MemBlockSlot * operator=(MemBlockSlot * this\, MemBlockSlot * param_1)","31"
"~MemBlockSlot","1000a280","void ~MemBlockSlot(MemBlockSlot * this)","46"
"MemBlockSlot","1000a2b0","undefined MemBlockSlot(MemBlockSlot * this)","15"
"GetSlotIndex","1000a2c0","uint GetSlotIndex(TMemory * this\, MemBlockSlot * param_1)","15"
"IsDebug","1000a2d0","bool IsDebug(void)","8"
"IsInitialised","1000a2e0","bool IsInitialised(void)","8"
"SetHoleSize","1000a2f0","void SetHoleSize(MemNode * param_1\, uint param_2)","14"
"IsProcess","1000a300","bool IsProcess(MemNode * param_1)","25"
"ExtendNodeSize","1000a320","void ExtendNodeSize(MemNode * param_1\, uint param_2)","22"
"SetProcess","1000a340","void SetProcess(MemBlock * param_1\, MemNode * param_2\, uint param_3)","58"
"GetNodeSize","1000a380","uint GetNodeSize(MemNode * param_1)","15"
"GetProcessMemBlock","1000a390","MemBlock * GetProcessMemBlock(MemNode * param_1)","33"
"ConvertProcessToHole","1000a3c0","void ConvertProcessToHole(MemNode * param_1)","18"
"GetGlobalFlags","1000a3e0","uint GetGlobalFlags(TMemory * this)","7"
"operator=","1000a3f0","Iterator * operator=(Iterator * this\, Iterator * param_1)","13"
"operator=","1000a400","TNode * operator=(TNode * this\, TNode * param_1)","27"
"TNode","1000a420","undefined TNode(TNode * this\, TNode * param_1)","33"
"operator=","1000a450","TGenericNodeList * operator=(TGenericNodeList * this\, TGenericNodeList * param_1)","55"
"TGenericNodeList","1000a490","undefined TGenericNodeList(TGenericNodeList * this\, TGenericNodeList * param_1)","62"
"operator=","1000a4d0","TNode * operator=(TNode * this\, TNode * param_1)","19"
"RemoveChild","1000a4f0","void RemoveChild(TNode * this\, int param_1)","25"
"InsertChild","1000a510","void InsertChild(TNode * this\, int param_1\, TNode * param_2)","17"
"Child","1000a530","TNode * Child(TNode * this\, int param_1)","11"
"Parent","1000a540","TNode * Parent(TNode * this)","3"
"operator=","1000a550","TGenericNTree * operator=(TGenericNTree * this\, TGenericNTree * param_1)","13"
"RemoveRoot","1000a560","void RemoveRoot(TGenericNTree * this)","7"
"InsertRoot","1000a570","void InsertRoot(TGenericNTree * this\, TNode * param_1)","15"
"Root","1000a580","TNode * Root(TGenericNTree * this)","3"
"TGenericNTree","1000a590","undefined TGenericNTree(TGenericNTree * this)","9"
"TCString","1000a5a0","undefined TCString(TCString * this)","39"
"TCString","1000a5d0","undefined TCString(TCString * this\, int param_1)","44"
"Format","1000a600","TCString * Format(TCString * this\, char * param_1\, ...)","82"
"Mid","1000a660","TCString Mid(TCString * this\, int param_1\, int param_2)","150"
"Copy","1000a700","void Copy(TCString * this\, TCString * param_1\, int param_2)","77"
"Copy","1000a750","void Copy(TCString * this\, TWString * param_1\, int param_2)","79"
"Copy","1000a7a0","void Copy(TCString * this\, char * param_1\, int param_2)","80"
"Copy","1000a7f0","void Copy(TCString * this\, ushort * param_1\, int param_2)","70"
"Compare","1000a840","int Compare(TCString * this\, char * param_1\, int param_2)","223"
"CompareNoCase","1000a930","int CompareNoCase(TCString * this\, char * param_1\, int param_2)","191"
"Concat","1000aa00","TCString * Concat(TCString * this\, TCString * param_1\, int param_2)","155"
"Concat","1000aaa0","TCString * Concat(TCString * this\, TWString * param_1\, int param_2)","157"
"Concat","1000ab40","TCString * Concat(TCString * this\, char * param_1\, int param_2)","151"
"Find","1000abe0","int Find(TCString * this\, char * param_1\, int param_2)","105"
"Find","1000ac50","int Find(TCString * this\, char param_1\, int param_2)","106"
"FindReverse","1000acc0","int FindReverse(TCString * this\, char param_1\, int param_2)","154"
"Truncate","1000ad60","void Truncate(TCString * this\, int param_1)","117"
"IsAllLowerCase","1000ade0","bool IsAllLowerCase(TCString * this)","42"
"IsAllUpperCase","1000ae10","bool IsAllUpperCase(TCString * this)","42"
"operator[]","1000ae40","char * operator[](TCString * this\, int param_1)","82"
"operator[]","1000aea0","char * operator[](TCString * this\, int param_1)","85"
"operator+","1000af00","TCString operator+(TCString * this\, char * param_1)","134"
"operator+","1000af90","TCString operator+(TCString * this\, ushort * param_1)","134"
"IsIndexValid","1000b020","bool IsIndexValid(TCString * this\, int param_1)","33"
"Print","1000b050","TCString * Print(TCString * this)","111"
"ForceSetData","1000b0d0","void ForceSetData(TCString * this\, char * param_1\, int param_2)","225"
"UndoForceSetData","1000b1c0","void UndoForceSetData(TCString * this)","22"
"Reset","1000b1e0","void Reset(TCString * this)","22"
"AllocBuffer","1000b200","bool AllocBuffer(TCString * this\, int param_1\, bool param_2)","290"
"operator+","1000b330","TCString operator+(char * param_1\, TCString * param_2)","105"
"operator>=","1000b3a0","bool operator>=(char * param_1\, TCString * param_2)","40"
"operator<=","1000b3d0","bool operator<=(char * param_1\, TCString * param_2)","40"
"operator>","1000b400","bool operator>(char * param_1\, TCString * param_2)","40"
"operator<","1000b430","bool operator<(char * param_1\, TCString * param_2)","40"
"operator!=","1000b460","bool operator!=(char * param_1\, TCString * param_2)","40"
"operator==","1000b490","bool operator==(char * param_1\, TCString * param_2)","40"
"FreeBuffer","1000b4c0","void FreeBuffer(TCString * this)","45"
"IsUnicode","1000b4f0","bool IsUnicode(TCString * this)","3"
"GetString","1000b500","char * GetString(TCString * this\, int param_1)","46"
"operator>=","1000b530","bool operator>=(TCString * this\, char * param_1)","36"
"operator>=","1000b560","bool operator>=(TCString * this\, TCString * param_1)","38"
"operator<=","1000b590","bool operator<=(TCString * this\, char * param_1)","36"
"operator<=","1000b5c0","bool operator<=(TCString * this\, TCString * param_1)","38"
"operator>","1000b5f0","bool operator>(TCString * this\, char * param_1)","36"
"operator>","1000b620","bool operator>(TCString * this\, TCString * param_1)","38"
"operator<","1000b650","bool operator<(TCString * this\, char * param_1)","36"
"operator<","1000b680","bool operator<(TCString * this\, TCString * param_1)","38"
"operator!=","1000b6b0","bool operator!=(TCString * this\, char * param_1)","36"
"operator!=","1000b6e0","bool operator!=(TCString * this\, TCString * param_1)","38"
"operator==","1000b710","bool operator==(TCString * this\, char * param_1)","36"
"operator==","1000b740","bool operator==(TCString * this\, TCString * param_1)","38"
"operator+","1000b770","TCString operator+(TCString * this\, TWString * param_1)","48"
"operator+","1000b7a0","TCString operator+(TCString * this\, TCString * param_1)","48"
"operator+=","1000b7d0","TCString * operator+=(TCString * this\, char * param_1)","23"
"operator+=","1000b7f0","TCString * operator+=(TCString * this\, TWString * param_1)","23"
"operator+=","1000b810","TCString * operator+=(TCString * this\, TCString * param_1)","23"
"operator!","1000b830","bool operator!(TCString * this)","19"
"operator=","1000b850","TCString * operator=(TCString * this\, ushort * param_1)","23"
"operator=","1000b870","TCString * operator=(TCString * this\, char * param_1)","23"
"operator=","1000b890","TCString * operator=(TCString * this\, TWString * param_1)","23"
"operator=","1000b8b0","TCString * operator=(TCString * this\, TCString * param_1)","23"
"operator_char_const*","1000b8d0","char * operator_char_const*(TCString * this)","3"
"MakeLower","1000b8e0","TCString * MakeLower(TCString * this)","32"
